2025-07-22 09:23:30,377 - backtest.simulator - ERROR - [simulator.py:166] - Failed to initialize TradingAgentsGraph: Permission denied
2025-07-22 09:23:30,377 - backtest.simulator - ERROR - [simulator.py:167] - Config used: {'project_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents', 'results_dir': './backtest/results', 'data_dir': '/Users/y-sato/TradingAgents2/data', 'data_cache_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents/tradingagents/dataflows/data_cache', 'llm_provider': 'openai', 'deep_think_llm': 'gpt-4o-mini', 'quick_think_llm': 'gpt-4o-mini', 'backend_url': 'https://api.openai.com/v1', 'max_debate_rounds': 1, 'max_risk_discuss_rounds': 1, 'max_recur_limit': 100, 'online_tools': False}
2025-07-22 09:24:47,802 - backtest.simulator - ERROR - [simulator.py:166] - Failed to initialize TradingAgentsGraph: Permission denied
2025-07-22 09:24:47,803 - backtest.simulator - ERROR - [simulator.py:167] - Config used: {'project_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents', 'results_dir': './backtest/results', 'data_dir': '/Users/y-sato/TradingAgents2/data', 'data_cache_dir': '/Users/y-sato/TradingAgents2/TradingMultiAgents/tradingagents/dataflows/data_cache', 'llm_provider': 'openai', 'deep_think_llm': 'gpt-4o-mini', 'quick_think_llm': 'gpt-4o-mini', 'backend_url': 'https://api.openai.com/v1', 'max_debate_rounds': 1, 'max_risk_discuss_rounds': 1, 'max_recur_limit': 100, 'online_tools': False}
2025-07-22 19:39:10,705 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:13,711 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:16,145 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:18,222 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:19,992 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:22,156 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:25,653 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:27,962 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:30,281 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:32,082 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:34,251 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:36,271 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:38,448 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:40,445 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:42,588 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:44,625 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
2025-07-22 19:39:46,730 - backtest.simulator - ERROR - [simulator.py:365] - Error getting agent decision: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}. Defaulting to HOLD.
